Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Health professionals n.e.c.	2219	32	544.5	571.9	318.3	402.8	430.4	455.6	503.2	608.7	675.1	688.7	746.2	x
    Therapy professionals	222	111	527.6	538.4	287.3	379.0	416.3	430.4	475.9	568.3	630.7	661.5	691.3	798.0
      Physiotherapists	2221	49	540.8	541.1	259.1	372.0	419.9	431.0	500.7	593.8	644.5	675.1	711.5	x
      Occupational therapists	2222	34	524.4	545.0	357.0	415.2	423.6	440.9	481.2	555.1	612.7	649.7	675.9	x
      Speech and language therapists	2223	12	456.4	477.2	242.6	300.2	310.2	360.9	405.0	512.2	548.3	566.6	x	x
      Therapy professionals n.e.c.	2229	16	528.8	564.4	x	406.4	425.8	439.8	461.8	612.7	691.9	726.8	776.3	x
    Nursing and midwifery professionals	223	950	540.6	543.3	240.2	352.7	399.6	432.6	490.6	590.5	651.2	678.9	715.3	812.3
      Nurses	2231	900	540.1	542.2	235.0	350.1	396.7	430.8	489.9	589.8	649.2	676.5	715.0	812.0
      Midwives	2232	50	551.2	562.7	295.3	396.8	426.6	455.5	501.3	627.1	675.1	699.6	720.4	x
  Teaching and educational professionals	23	1,467	649.9	655.3	222.5	398.4	439.7	479.1	566.6	720.7	788.9	834.2	888.4	1,051.5
    Teaching and educational professionals	231	1,467	649.9	655.3	222.5	398.4	439.7	479.1	566.6	720.7	788.9	834.2	888.4	1,051.5
      Higher education teaching professionals	2311	169	890.1	852.7	185.2	434.8	539.7	639.5	753.6	953.9	1,065.9	1,103.0	1,142.1	1,358.7
      Further education teaching professionals	2312	132	607.3	578.1	174.8	322.1	368.0	422.3	536.5	673.0	731.8	766.9	823.2	x
      Secondary education teaching professionals	2314	456	685.4	669.3	344.6	463.8	498.8	530.9	610.6	733.1	802.0	830.1	864.5	967.2
      Primary and nursery education teaching professionals	2315	453	596.9	586.7	254.2	402.4	430.6	464.6	538.5	675.4	713.1	733.1	770.2	868.0
      Special needs education teaching professionals	2316	42	539.0	557.6	191.0	321.6	370.1	429.8	480.8	639.2	702.5	759.0	791.4	x
      Senior professionals of educational establishments	2317	96	1,029.4	1,029.8	524.6	680.1	752.9	825.4	943.4	1,105.3	1,191.9	1,223.1	1,284.7	1,478.1
      Education advisers and school inspectors	2318	18	650.4	660.5	240.5	358.9	417.9	456.5	559.2	752.4	840.8	855.2	901.6	x
      Teaching and other educational professionals n.e.c.	2319	99	310.8	348.1	49.6	93.3	122.5	152.3	224.5	398.0	473.8	517.5	567.2	687.6
  Business, media and public service professionals	24	1,406	700.3	793.4	374.8	479.1	525.0	570.2	636.9	774.3	873.2	936.6	1,015.6	1,264.9
    Legal professionals	241	133	862.4	1,097.2	421.6	565.4	609.3	670.8	766.6	963.6	1,169.5	1,322.7	1,494.2	1,876.3
      Barristers and judges	2412	14	597.6	720.4	x	x	x	401.0	546.4	712.0	x	x	x	x
      Solicitors	2413	79	766.6	983.2	418.8	508.0	574.9	613.3	689.9	850.4	958.2	1,007.5	1,119.2	x
      Legal professionals n.e.c.	2419	41	1,341.6	1,444.4	671.0	855.2	895.3	954.1	1,140.5	1,499.4	1,677.8	1,767.9	1,875.4	x
    Business, research and administrative professionals	242	677	739.0	826.6	394.3	512.5	558.4	593.3	669.7	830.8	945.5	1,013.8	1,081.6	1,323.1
      Chartered and certified accountants	2421	87	685.9	726.0	292.8	438.2	479.1	536.6	602.5	766.6	843.2	897.7	973.6	x
      Management consultants and business analysts	2423	171	746.1	826.9	394.3	502.5	552.8	586.6	670.8	843.3	956.2	1,019.8	1,092.2	1,285.5
      Business and financial project management professionals	2424	241	863.5	945.7	460.0	574.9	623.6	670.8	769.7	984.9	1,109.4	1,183.7	1,260.7	1,534.1
      Actuaries, economists and statisticians	2425	22	866.3	1,124.7	525.9	612.8	644.0	695.9	775.3	977.8	1,069.5	1,149.9	x	x
      Business and related research professionals	2426	106	613.4	609.3	344.6	440.8	479.1	517.5	569.1	650.5	690.0	729.6	749.1	853.3
      Business, research and administrative professionals n.e.c.	2429	50	705.2	756.4	408.0	570.0	599.3	628.5	660.6	835.0	925.2	941.6	967.9	x
    Architects, town planners and surveyors	243	165	710.7	763.6	414.0	506.4	550.7	585.6	656.4	766.6	852.9	905.9	958.2	1,130.2
      Architects	2431	39	728.2	815.8	483.9	581.0	608.4	636.9	685.3	766.6	856.3	919.2	x	x
      Town planning officers	2432	7	650.1	698.5	x	411.5	448.3	478.8	534.4	704.4	x	x	x	x
      Quantity surveyors	2433	33	794.0	814.3	399.5	507.7	584.4	634.2	728.3	862.2	930.9	958.2	1,045.6	x
      Chartered surveyors	2434	63	686.1	721.2	391.5	480.5	527.0	555.1	614.4	745.9	805.5	855.9	912.0	x
      Chartered architectural technologists	2435	x	589.3	657.0	x	x	x	x	x	x	x	x	x	x
      Construction project managers and related professionals	2436	20	672.0	751.6	440.8	493.1	514.6	571.1	639.2	747.3	855.7	898.4	x	x
    Welfare professionals	244	164	557.8	553.7	280.0	392.8	426.8	446.9	502.6	615.2	668.4	691.3	728.2	807.9
      Social workers	2442	103	629.4	611.1	346.3	473.3	507.4	533.0	579.8	667.4	707.6	732.8	763.8	836.4
      Probation officers	2443	5	496.8	474.9	x	x	348.4	367.2	404.8	514.3	571.6	x	x	x
      Clergy	2444	39	444.3	422.0	182.3	248.5	298.8	341.8	421.5	455.7	477.5	491.2	513.1	x
      Welfare professionals n.e.c.	2449	17	525.0	532.0	234.2	343.4	366.7	407.4	465.8	594.5	677.2	692.0	732.5	x
    Librarians and related professionals	245	25	467.2	477.2	162.2	279.7	311.2	337.4	407.6	505.2	565.2	604.7	668.6	x
      Librarians	2451	15	461.7	482.0	x	304.0	311.3	334.7	407.0	491.4	564.5	603.8	x	x
      Archivists and curators	2452	10	478.5	470.1	x	x	x	x	401.7	508.1	553.4	x	x	x
    Quality and regulatory professionals	246	130	737.8	805.5	459.7	570.5	600.2	633.7	684.7	796.7	871.6	932.8	1,006.8	1,179.2
      Quality control and planning engineers	2461	41	719.0	734.9	432.7	563.5	581.7	621.1	661.8	754.0	829.3	862.5	898.3	x
      Quality assurance and regulatory professionals	2462	79	766.6	859.1	474.2	584.1	609.3	650.7	709.9	839.8	948.7	1,023.2	1,100.5	x
      Environmental health professionals	2463	10	665.5	665.7	x	502.8	539.5	578.1	628.4	697.2	738.0	783.0	x	x
    Media professionals	247	113	623.8	684.3	345.0	438.9	474.8	498.3	560.3	688.6	759.5	793.8	851.8	x
      Journalists, newspaper and periodical editors	2471	49	634.9	699.1	401.1	468.6	487.2	506.8	574.9	687.0	774.6	807.8	863.1	x
      Public relations professionals	2472	38	574.9	639.4	282.7	383.6	421.6	459.8	516.4	639.7	691.6	728.5	765.6	x
      Advertising accounts managers and creative directors	2473	27	689.5	720.8	344.3	449.5	499.9	542.5	604.0	750.5	822.7	866.6	971.5	x
Associate professional and technical occupations	3	3,846	569.9	640.8	298.9	388.0	423.5	452.9	508.3	633.2	718.7	764.4	818.3	1,009.6
  Science, engineering and technology associate professionals	31	693	528.8	563.4	312.5	373.3	402.5	431.6	482.0	579.2	644.2	684.2	728.3	859.0
    Science, engineering and production technicians	311	376	513.5	554.9	304.4	364.1	386.3	415.8	469.5	574.1	638.1	678.6	727.8	859.8
      Laboratory technicians	3111	64	367.2	407.0	216.4	290.5	306.8	321.9	345.0	397.2	436.8	469.6	503.7	x
