Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Train and tram drivers	8231	29	1,031.2	1,003.9	639.5	904.9	939.0	957.1	994.0	1,035.5	1,079.8	1,110.5	1,165.3	x
      Marine and waterways transport operatives	8232	x	670.8	658.1	x	x	x	x	663.5	716.6	x	x	x	x
      Air transport operatives	8233	14	469.7	484.7	248.7	333.9	379.1	391.4	434.5	503.5	553.1	581.4	x	x
      Rail transport operatives	8234	10	721.7	759.9	x	510.0	523.7	603.7	677.6	797.0	849.7	913.8	x	x
      Other drivers and transport operatives n.e.c.	8239	8	468.2	458.0	x	x	x	x	414.0	543.5	597.9	x	x	x
Elementary occupations	9	2,961	258.6	267.9	58.9	98.1	120.0	140.9	193.9	306.0	348.3	373.9	404.0	491.6
  Elementary trades and related occupations	91	356	362.2	378.8	188.4	281.3	298.3	307.8	334.5	392.2	429.7	453.6	483.5	572.8
    Elementary agricultural occupations	911	51	362.2	358.8	136.8	241.4	280.4	295.2	333.3	385.5	415.5	439.4	466.3	551.9
      Farm workers	9111	33	376.7	372.8	121.3	243.3	287.1	306.5	343.9	400.4	442.0	466.4	499.3	x
      Forestry workers	9112	x	393.6	404.9	x	x	x	x	372.3	404.1	x	x	x	x
      Fishing and other elementary agriculture occupations n.e.c.	9119	16	340.0	321.8	137.1	218.2	251.0	280.2	299.1	353.7	378.5	389.6	399.3	x
    Elementary construction occupations	912	63	407.8	432.2	273.2	313.7	330.0	345.9	372.1	436.9	481.6	512.0	553.5	626.8
      Elementary construction occupations	9120	63	407.5	432.1	272.7	313.5	330.0	345.4	372.0	436.0	480.7	512.4	554.5	627.2
    Elementary process plant occupations	913	242	352.4	369.0	189.4	281.1	292.9	302.3	324.9	381.0	421.0	442.5	469.0	552.4
      Industrial cleaning process occupations	9132	21	292.5	275.5	77.2	114.8	131.6	159.5	246.8	321.6	361.8	373.8	387.0	x
      Packers, bottlers, canners and fillers	9134	103	341.6	360.7	189.7	279.6	288.9	300.0	318.8	369.6	408.5	429.5	453.0	531.0
      Elementary process plant occupations n.e.c.	9139	117	373.1	393.3	253.6	296.5	304.6	317.2	344.7	402.6	442.5	468.9	498.4	584.5
  Elementary administration and service occupations	92	2,605	227.5	252.8	54.4	89.7	110.4	126.8	173.3	288.0	332.7	356.6	387.4	475.4
    Elementary administration occupations	921	189	381.2	366.4	97.9	210.5	258.1	291.5	334.2	419.8	450.6	478.7	501.2	574.5
      Postal workers, mail sorters, messengers and couriers	9211	147	419.7	402.0	140.8	279.4	313.9	335.5	391.3	443.2	485.9	501.5	519.6	600.3
      Elementary administration occupations n.e.c.	9219	43	244.0	244.5	60.1	125.3	150.0	162.7	207.8	290.9	313.9	327.4	345.2	x
    Elementary cleaning occupations	923	623	154.6	190.1	62.1	84.4	94.8	107.3	127.4	188.6	239.4	271.7	298.1	359.5
      Window cleaners	9231	x	x	412.0	x	x	x	x	x	x	x	x	x	x
      Street cleaners	9232	7	343.8	350.9	x	316.0	321.4	326.1	333.8	358.3	365.0	373.7	x	x
      Cleaners and domestics	9233	558	142.5	174.4	58.9	81.2	90.0	100.1	120.0	170.3	210.6	237.9	268.1	332.8
      Launderers, dry cleaners and pressers	9234	19	262.7	256.3	120.0	150.1	179.7	195.5	231.1	289.7	303.0	311.2	325.9	x
      Refuse and salvage occupations	9235	24	373.5	390.4	295.8	325.6	336.2	341.8	356.0	393.5	417.7	433.5	450.7	x
      Vehicle valeters and cleaners	9236	12	291.1	268.9	105.5	155.0	172.4	179.4	249.6	320.8	342.4	352.6	364.1	x
      Elementary cleaning occupations n.e.c.	9239	x	x	383.8	x	x	x	x	x	x	x	x	x	x
    Elementary security occupations	924	260	223.0	264.9	41.0	54.3	60.0	66.8	103.4	328.7	398.8	430.4	467.2	568.0
      Security guards and related occupations	9241	130	410.5	412.9	158.6	281.3	308.6	328.4	369.7	449.9	500.5	523.8	558.5	633.1
      Parking and civil enforcement occupations	9242	13	362.6	333.8	x	x	x	269.1	321.8	398.4	421.4	428.4	451.5	x
      School midday and crossing patrol occupations	9244	106	58.1	72.7	28.6	41.0	44.2	47.7	52.5	63.1	70.9	78.0	86.3	x
      Elementary security occupations n.e.c.	9249	11	x	280.9	x	x	x	x	192.0	333.7	398.6	432.5	x	x
    Elementary sales occupations	925	35	223.0	229.0	111.3	134.8	146.6	157.8	188.6	242.9	278.5	287.6	303.6	x
      Shelf fillers	9251	31	215.1	223.5	106.7	133.4	140.9	150.3	185.1	237.6	271.6	283.9	294.9	x
      Elementary sales occupations n.e.c.	9259	4	256.1	267.3	x	171.9	186.6	202.3	241.0	303.7	307.4	x	x	x
    Elementary storage occupations	926	546	373.4	402.5	231.6	296.0	306.4	320.0	345.3	404.2	442.1	469.5	498.3	594.0
      Elementary storage occupations	9260	546	373.4	402.5	231.6	296.0	306.4	320.0	345.3	404.2	442.1	469.5	498.3	594.0
    Other elementary services occupations	927	952	162.1	182.9	40.5	68.8	83.1	99.1	127.5	198.2	242.6	267.3	291.9	345.9
      Hospital porters	9271	5	360.7	361.7	x	x	303.8	317.3	340.6	383.6	403.9	x	x	x
      Kitchen and catering assistants	9272	540	183.0	199.7	53.8	87.1	103.6	119.6	148.9	223.3	263.0	284.4	305.7	359.1
      Waiters and waitresses	9273	195	120.0	151.9	32.4	51.2	60.0	69.5	94.9	157.1	199.5	225.0	257.4	316.5
      Bar staff	9274	159	135.6	161.7	38.2	59.7	68.9	81.1	115.5	172.5	208.0	227.4	259.7	318.7
      Leisure and theme park attendants	9275	32	98.4	135.7	18.9	30.6	34.6	47.1	71.1	130.9	180.3	205.3	231.0	x
      Other elementary services occupations n.e.c.	9279	21	213.6	229.2	x	x	102.7	115.3	165.5	266.5	306.9	321.1	336.2	x
